,surface,region,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
90,122.0,62,3,2,Yes,No,No,No,Yes,Yes,No,260000.0
91,145.0,42,3,2,Yes,No,No,Yes,Yes,Yes,No,620000.0
92,95.0,42,2,1,No,No,No,No,No,No,No,265000.0
93,143.0,42,3,2,Yes,No,No,No,No,No,No,295000.0
94,109.0,42,2,2,No,No,No,No,No,No,No,230000.0
95,129.0,42,4,2,Yes,No,No,No,Yes,Yes,Yes,310000.0
96,60.0,42,2,1,No,No,No,No,No,Yes,Yes,180000.0
97,130.0,10,4,2,Yes,No,No,No,Yes,Yes,Yes,370000.0
98,50.0,42,1,1,No,No,No,No,No,Yes,No,180000.0
99,74.0,42,1,1,No,No,No,No,Yes,Yes,Yes,180000.0
100,56.0,42,2,1,Yes,No,No,No,No,Yes,Yes,175000.0
101,136.0,62,2,2,Yes,No,No,No,Yes,Yes,Yes,240000.0
102,136.0,74,3,2,No,No,No,No,No,Yes,No,215000.0
103,106.0,37,3,2,No,No,No,No,No,Yes,No,225000.0
104,89.0,16,2,1,Yes,No,No,No,Yes,Yes,No,275000.0
105,94.0,88,2,1,No,No,No,No,No,No,No,183000.0
106,150.0,44,3,2,No,No,No,No,No,No,Yes,320000.0
107,90.0,28,3,1,No,No,No,No,Yes,Yes,No,180000.0
108,50.0,25,1,1,No,No,No,No,No,Yes,No,140000.0
109,137.0,42,3,2,Yes,No,No,No,No,Yes,No,329000.0
110,200.0,8,4,3,Yes,No,No,No,Yes,Yes,No,1150000.0
111,102.0,42,2,1,Yes,No,No,No,No,Yes,No,308000.0
113,316.0,16,3,2,Yes,Yes,No,Yes,No,No,No,750000.0
114,121.0,62,3,2,Yes,No,No,No,Yes,No,Yes,270000.0
115,250.0,42,6,2,No,No,No,No,No,No,No,660000.0
116,73.0,30,1,1,Yes,No,No,No,Yes,No,Yes,219000.0
117,171.0,31,2,1,Yes,No,No,No,Yes,Yes,Yes,410000.0
118,91.0,30,2,1,Yes,No,No,No,Yes,Yes,No,280000.0
119,63.0,23,1,1,No,Yes,No,No,No,No,No,330000.0
120,260.0,4,4,2,Yes,No,Yes,No,No,No,No,1500000.0
122,160.0,30,3,2,Yes,No,No,No,Yes,Yes,No,450000.0
123,89.0,30,1,1,No,No,No,No,Yes,Yes,No,315000.0
124,113.0,30,3,3,Yes,No,No,No,No,Yes,No,265000.0
125,150.0,52,4,2,Yes,No,No,No,Yes,Yes,No,365000.0
126,49.0,17,2,1,No,No,No,No,No,Yes,Yes,170000.0
127,155.0,42,4,2,No,No,No,No,No,No,No,340000.0
128,60.0,42,1,1,No,No,No,No,No,No,No,63000.0
129,137.0,42,4,2,No,No,No,No,No,No,No,329000.0
130,100.0,42,2,1,Yes,No,No,No,No,Yes,Yes,308000.0
131,116.0,49,3,2,Yes,No,No,No,Yes,Yes,Yes,255000.0
132,450.0,49,7,4,No,No,No,No,No,No,No,600000.0
133,85.0,37,2,1,Yes,No,No,No,Yes,Yes,No,260000.0
134,100.0,30,2,1,No,No,No,No,Yes,No,Yes,340000.0
135,178.0,37,3,2,No,No,No,No,No,Yes,Yes,485000.0
136,64.0,42,2,1,No,No,No,No,No,Yes,No,268000.0
137,95.0,42,2,1,No,No,No,No,Yes,Yes,Yes,380000.0
138,160.0,42,3,3,Yes,No,No,Yes,Yes,Yes,Yes,854000.0
139,67.0,1,1,1,No,No,No,No,No,No,No,365000.0
