surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
68.0,16,1.0,1.0,0,0,0,0,1,1,0,155000.0
67.0,16,1.0,1.0,0,0,0,0,1,1,1,230000.0
63.0,42,1.0,1.0,0,0,0,0,0,1,1,185000.0
103.0,5,3.0,1.0,0,1,0,0,1,1,1,572000.0
70.0,6,1.0,1.0,0,0,0,0,0,0,0,230000.0
165.0,38,3.0,2.0,1,0,0,0,1,1,0,385000.0
195.0,16,3.0,2.0,1,0,0,1,0,1,1,625000.0
75.0,20,1.0,1.0,0,0,0,0,1,1,1,155000.0
97.0,54,3.0,2.0,1,0,0,0,1,1,0,450000.0
110.0,42,2.0,1.0,0,0,0,0,0,1,1,272000.0
68.0,4,1.0,1.0,0,0,0,0,0,1,0,170000.0
125.0,60,3.0,2.0,0,0,0,0,0,1,1,240000.0
75.0,4,1.0,1.0,1,1,0,1,1,1,1,380000.0
110.0,17,2.0,2.0,0,0,0,0,1,1,1,370000.0
121.0,17,3.0,2.0,1,0,0,0,1,1,1,505000.0
43.0,17,1.0,1.0,1,0,0,0,1,1,0,250000.0
60.0,38,2.0,1.0,0,0,0,0,0,0,0,120000.0
168.0,16,3.0,2.0,1,0,0,0,1,1,0,330000.0
118.0,16,2.0,2.0,1,0,0,1,1,1,1,475000.0
198.0,17,2.0,1.0,0,0,0,0,1,1,1,710000.0
102.0,32,2.0,1.0,1,0,0,0,1,1,1,240000.0
114.0,27,3.0,2.0,0,0,0,0,0,1,0,265000.0
50.0,30,1.0,1.0,0,0,0,0,0,1,1,257000.0
105.0,60,2.0,2.0,0,0,0,0,0,0,0,155000.0
43.0,60,1.0,1.0,0,0,0,0,0,1,1,85000.0
55.0,31,1.0,1.0,0,0,0,1,1,1,1,180000.0
135.0,31,3.0,2.0,1,0,0,1,0,1,1,510000.0
80.0,57,2.0,2.0,1,0,0,1,1,1,0,210000.0
57.0,4,2.0,1.0,0,0,0,0,0,1,1,230000.0
70.0,42,1.0,1.0,0,0,0,0,1,1,1,230000.0
162.0,16,3.0,2.0,1,0,0,0,1,1,1,490000.0
98.0,16,2.0,2.0,1,0,0,0,1,1,1,270000.0
100.0,76,2.0,1.0,1,0,0,1,0,1,0,120000.0
63.0,42,1.0,1.0,0,0,0,0,0,1,1,185000.0
106.0,42,2.0,1.0,0,0,0,0,0,1,1,259000.0
75.0,42,1.0,1.0,0,0,0,0,0,0,0,189000.0
63.0,17,1.0,1.0,0,0,0,0,0,1,1,174000.0
73.0,42,1.0,1.0,0,0,0,0,1,1,1,183000.0
68.0,42,1.0,1.0,0,0,0,0,0,1,1,169000.0
138.0,42,2.0,1.0,0,0,0,0,0,1,1,327000.0
157.0,5,2.0,2.0,0,0,0,0,1,1,1,480000.0
123.0,5,2.0,2.0,1,0,0,0,1,1,1,713000.0
97.0,96,2.0,1.0,0,0,0,0,0,0,0,139000.0
238.0,4,3.0,2.0,1,0,0,0,1,1,1,100000.0
114.0,24,2.0,1.0,1,0,0,0,1,1,0,295000.0
90.0,72,2.0,2.0,1,0,0,0,0,0,0,175000.0
75.0,84,2.0,1.0,0,0,0,0,1,1,0,195000.0
115.0,14,4.0,2.0,1,0,0,1,1,1,1,290000.0
100.0,57,3.0,1.0,0,0,0,0,0,0,0,250000.0
120.0,30,2.0,2.0,0,0,0,0,1,1,1,270000.0
105.0,57,3.0,2.0,0,0,0,0,0,0,0,250000.0
120.0,30,3.0,2.0,1,0,0,0,1,1,1,310000.0
116.0,30,2.0,1.0,1,0,0,0,1,1,1,370000.0
100.0,14,3.0,1.0,0,0,0,0,0,1,1,250000.0
160.0,33,3.0,2.0,0,0,0,0,0,0,0,330000.0
74.0,14,2.0,2.0,1,0,0,0,0,1,0,185000.0
96.0,31,2.0,1.0,0,0,0,0,0,1,0,220000.0
82.0,60,2.0,2.0,0,0,0,0,1,1,1,220000.0
85.0,32,2.0,1.0,1,0,0,0,1,1,1,255000.0
138.0,32,3.0,1.0,1,0,0,0,1,1,1,330000.0
59.0,34,1.0,1.0,1,0,0,0,1,1,1,195000.0
50.0,84,1.0,1.0,1,0,0,0,1,1,1,113000.0
