surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
186,12,3,3,1,0,0,0,1,1,1,720000
160,12,3,2,1,0,0,0,1,1,1,785000
354,12,4,3,0,0,0,1,1,1,1,1800000
135,12,2,2,1,0,0,0,1,1,1,350000
127,12,2,2,1,0,0,0,1,1,1,370000
83,12,1,1,0,0,1,0,1,1,1,445000
240,12,4,3,0,0,0,0,0,0,0,975000
189,12,3,3,1,1,0,1,1,1,1,640000
245,12,3,2,1,1,1,1,1,1,0,900000
175,8,3,2,1,0,0,0,1,1,1,490000
63,12,1,1,1,1,0,0,1,1,1,350000
83,12,2,1,1,0,0,0,0,1,1,277000
161,12,3,3,0,0,0,0,1,1,1,514000
118,12,2,1,1,0,0,0,1,1,1,357000
140,12,3,2,1,0,0,0,1,1,1,330000
61,12,2,1,0,0,0,0,1,1,1,212000
112,12,2,2,1,0,0,1,1,1,1,380000
291,12,3,3,0,1,0,0,1,1,1,970000
295,8,3,2,1,1,0,1,1,1,0,2400000
182,12,4,3,1,0,0,0,1,1,1,620000
105,1,2,1,0,0,0,0,1,1,1,460000
190,12,3,3,1,0,0,0,1,1,1,1263000
101,12,3,2,1,0,0,0,1,1,0,330000
153,12,2,3,1,0,0,0,1,1,1,1025000
102,12,2,2,0,0,0,1,1,1,1,472590
167,12,3,3,1,0,0,0,1,1,1,635000
167,12,3,3,1,0,0,0,1,1,1,635000
149,8,2,1,1,0,0,1,1,1,1,972000
138,8,2,2,0,0,0,0,1,1,1,692500
138,8,2,1,1,0,0,1,1,1,1,531552
122,12,2,2,0,0,0,1,1,1,1,400000
117,12,2,2,0,0,0,1,1,1,1,386000
164,12,3,3,0,0,0,1,1,1,1,538000
118,12,2,2,0,0,0,1,1,1,1,389000
118,12,2,2,0,0,0,1,1,1,1,376000
182,12,3,3,0,0,0,1,1,1,1,600000
74,12,1,1,0,0,0,1,1,1,1,259000
159,12,3,3,0,0,0,1,1,1,1,507000
99,12,2,2,1,0,0,0,0,1,1,334000
125,12,3,2,1,0,0,0,0,1,1,416000
97,12,2,2,0,0,0,0,1,1,1,548000
125,12,3,2,1,0,0,0,1,1,1,430000
280,12,4,4,1,1,0,1,1,1,1,2190000
108,12,2,2,1,0,0,0,0,1,1,363000
138,8,2,1,1,0,0,1,1,1,1,692453
147,8,2,1,1,0,0,1,1,1,1,565100
139,8,2,2,1,0,0,1,1,1,1,583800
138,8,2,1,1,0,0,1,1,1,1,693700
136,8,2,1,1,0,0,1,1,1,1,743230
142,8,2,2,1,0,0,1,1,1,1,637828
130,12,3,1,0,0,0,0,1,1,1,520000
86,12,2,1,0,0,0,0,1,1,1,330000
101,12,2,1,0,0,0,0,1,1,1,388000
119,12,3,2,1,0,0,0,0,1,1,401000
117,12,2,2,1,0,0,0,0,1,1,410000
85,12,2,1,1,0,0,0,0,1,1,311000
132,12,3,2,1,0,0,0,0,1,1,458000
122,12,2,3,0,0,0,0,1,1,1,455000
110,12,2,2,0,0,0,0,1,1,1,410000
132,12,2,1,1,0,0,1,0,0,1,493000
151,12,2,1,1,0,0,1,1,1,1,505000
152,12,2,1,1,0,0,1,1,1,1,501000
131,12,2,3,0,0,0,0,0,0,1,486000
131,12,2,3,0,0,0,0,1,0,1,486000
110,12,2,3,0,0,0,0,1,1,1,407000
110,12,2,1,1,0,0,1,0,0,1,407000
123,12,2,1,1,0,0,1,0,0,1,477000
135,12,2,1,1,0,0,1,0,0,1,521000
122,12,2,3,0,0,0,0,1,1,1,455000
202,12,3,4,1,0,0,0,1,1,1,1342000
74,16,2,1,1,0,0,0,0,0,0,275000
59,16,1,1,1,0,0,0,0,0,0,234500
143,16,3,3,0,0,0,1,1,1,0,371800
88,16,1,1,0,0,0,0,1,1,1,290000
138,16,3,2,1,0,0,0,1,0,1,644000
95,16,3,1,0,0,0,0,0,0,1,140000
127,16,2,2,1,0,0,1,1,1,1,460000
108,16,2,1,1,0,0,0,1,1,0,350000
177,2,3,2,0,0,0,0,1,1,1,726040
105,16,2,1,1,0,0,0,1,1,1,330000
111,2,2,2,0,0,0,0,1,1,1,464000
162,2,3,3,0,0,0,0,1,1,1,667520
214,16,4,1,1,1,0,0,0,0,0,635000
190,16,2,1,0,0,0,1,0,0,0,385000
105,16,2,1,1,0,0,0,0,0,1,330000
153,16,2,3,1,1,0,0,1,1,1,620000
130,16,2,2,1,0,0,0,1,1,1,365000
56,16,1,1,0,0,0,0,0,0,0,142000
60,16,1,1,1,0,0,0,1,1,1,245000
80,16,1,1,1,0,0,0,0,1,1,250000
130,16,3,2,0,0,0,0,1,1,0,325000
140,16,3,2,1,0,0,0,1,1,1,398000
280,2,7,4,1,0,0,1,1,1,0,800000
56,2,1,1,1,0,0,0,1,1,1,250000
63,16,1,1,1,0,0,1,1,1,0,282000
60,16,1,1,1,0,0,0,1,1,1,295000
61,16,1,1,1,0,0,0,1,1,0,241000
57,16,1,1,1,0,0,0,1,1,1,240000
111,16,2,1,0,0,0,1,1,1,0,288600
56,16,1,1,0,0,0,0,0,0,0,142000
120,16,3,2,1,0,0,0,0,0,1,245500
115,2,2,2,0,0,0,0,1,1,1,480000
118,11,3,2,1,0,0,0,1,1,1,581000
97,11,2,2,0,0,0,1,1,1,1,405784
117,11,2,2,0,0,0,0,1,1,1,467461
152,16,3,3,1,0,0,0,1,1,1,445000
214,16,3,3,1,1,0,1,1,1,1,650000
76,16,1,1,0,0,0,1,1,1,0,197600
